scene_id,tile_cnt_sg1,tile_cnt_sg2
MGRS-50RPS,0,0
MGRS-50RPT,0,0
MGRS-50RPU,587,35
MGRS-50RPV,346,866
MGRS-50RQN,0,68
MGRS-50RQP,0,0
MGRS-50RQQ,864,0
MGRS-50RQR,0,0
MGRS-50RQS,0,0
MGRS-50RQT,1218,0
MGRS-50RQU,1233,0
MGRS-50RQV,1126,18
MGRS-50SKA,891,6
MGRS-50SKB,571,142
MGRS-50SKC,1252,19
MGRS-50SKD,136,29
MGRS-50SKE,935,108
MGRS-50SKF,23,4
MGRS-50SKG,659,36
MGRS-50SKH,1007,16
MGRS-50SKJ,580,0
MGRS-50SLA,1,0
MGRS-50SLB,133,0
MGRS-50SLC,366,566
MGRS-50SLD,614,80
MGRS-50SLE,1005,200
MGRS-50SLF,831,15
MGRS-50SLG,857,68
MGRS-50SLH,997,5
MGRS-50SLJ,0,0
MGRS-50SMA,979,21
MGRS-50SMB,1173,188
MGRS-50SMC,1236,2
MGRS-50SMD,1237,64
MGRS-50SME,1165,9
MGRS-50SMF,149,31
MGRS-50SMG,425,569
MGRS-50SMH,790,52
MGRS-50SMJ,1133,73
MGRS-50SNA,1082,9
MGRS-50SNB,581,102
MGRS-50SNC,806,16
MGRS-50SND,977,229
MGRS-50SNE,678,119
MGRS-50SNF,454,849
MGRS-50SNG,178,55
MGRS-50SNH,818,0
MGRS-50SNJ,79,25
MGRS-50SPA,163,41
MGRS-50SPB,460,124
MGRS-50SPC,946,58
MGRS-50SPD,36,1059
MGRS-50SPE,1264,37
MGRS-50SPF,1167,29
MGRS-50SPG,865,83
MGRS-50SPH,130,0
MGRS-50SPJ,393,31
MGRS-50SQA,1109,11
MGRS-50SQB,550,265
MGRS-50SQC,997,21
MGRS-50SQD,22,379
MGRS-50SQE,44,5
MGRS-50SQF,1241,37
MGRS-50SQG,461,3
MGRS-50SQJ,10,0
MGRS-50TKK,798,25
MGRS-50TKL,588,1
MGRS-50TKM,394,0
MGRS-50TLK,948,14
MGRS-50TLL,740,20
MGRS-50TLM,257,0
MGRS-50TLN,194,2
MGRS-50TLP,337,3
MGRS-50TLQ,18,0
MGRS-50TMK,1264,65
MGRS-50TML,386,458
MGRS-50TMM,97,450
MGRS-50TMN,692,7
MGRS-50TMP,321,3
MGRS-50TMQ,280,149
MGRS-50TMR,355,6
MGRS-50TNK,378,789
MGRS-50TNL,513,7
MGRS-50TNM,294,123
MGRS-50TNN,359,104
MGRS-50TNP,305,77
MGRS-50TNQ,201,31
MGRS-50TNR,0,65
MGRS-50TPK,1165,21
MGRS-50TPL,313,24
MGRS-50TPM,2,0
MGRS-50TPN,727,14
MGRS-50TPP,749,18
MGRS-50TPQ,427,22
MGRS-50TPR,686,15
MGRS-50TPS,40,0
