index,area_sqkm_tot,area_sqkm_sg1,area_sqkm_sg2
081,540.2735142044789,0.0,0.0
082,325.7326877812748,0.0,325.9870781322058
083,540.5100846597944,0.0,0.0
084,541.7047558795844,541.7047558795844,0.0
085,830.1986315110388,0.0,830.5854079320703
086,326.5974640344936,0.0,0.0
087,542.4284057855757,0.0,0.0
088,542.9142679394831,542.9142679394831,0.0
089,327.1815433765116,327.1815433765116,0.0
090,3403.980541819741,3403.980541819741,0.0
091,4799.1133205209335,2631.4723425807565,2168.0840697367744
092,3813.852084462648,157.07776452617554,1065.6984931612333
093,1186.1068052938913,0.0,127.968826841396
094,19456.23435907978,8936.193127416176,1529.166738383993
095,758.8029615492662,758.8029615492662,0.0
096,328.0691208022932,0.0,328.3253510584997
097,1825.3581876015078,0.0,0.0
098,618.7584313513295,0.0,619.1403569835123
099,759.9931066294397,759.9931066294397,0.0
100,1483.8425087280662,0.0,0.0
101,2639.857084453175,1750.1183628015247,0.0
102,3136.443131839281,0.0,0.0
103,329.5793670008486,329.5793670008486,0.0
104,3292.3237286649596,0.0,0.0
105,2264.3769986626153,0.0,0.0
106,912.2249012171362,0.0,0.0
107,330.1944393476876,0.0,0.0
108,330.1944393476868,0.0,0.0
109,1555.6609628615515,0.0,0.0
110,548.1710064581916,0.0,0.0
111,1132.0684651022725,0.0,0.0
112,548.6865866314172,0.0,0.0
113,2731.575166296494,0.0,0.0
114,2365.432609587288,0.0,0.0
115,4479.908756283329,0.0,0.0
116,915.6715383711912,0.0,0.0
117,4755.991443109084,0.0,0.0
118,2143.1030606327067,0.0,0.0
119,1134.2145686000106,0.0,0.0
120,984.4425150177634,962.5332694682356,21.972106915492
121,550.2492564386258,0.0,0.0
122,331.44366950058264,0.0,0.0
123,842.7455734132599,0.0,0.0
124,1204.655543242173,0.0,0.0
125,1496.4961271766854,1496.4961271009195,0.0
126,331.7599901818292,0.0,0.0
127,331.75999018185576,331.75999018185576,0.0
128,770.0004091154777,0.0,0.0
129,2945.1161676617517,206.57864459105258,0.0
130,7879.096886511186,0.0,0.0
131,2368.4696468031398,815.1884271965625,1553.0941074887726
132,332.07792899392484,0.0,0.0
133,551.0391690547018,0.0,0.0
134,551.0391690547002,0.0,0.0
135,918.5864733641788,0.0,0.0
136,1502.9047898593328,0.0,0.0
137,332.39749245602366,332.39749243701937,0.0
138,4625.603338186098,0.0,465.9092877345491
139,1205.2305816159633,1205.2305815928707,0.0
140,332.7186871350307,332.7186871350307,0.0
141,332.71868713500373,332.71868713500373,0.0
142,4857.385501109099,0.0,0.0
143,1578.367127381635,1415.5417032996393,162.59169927419907
144,333.0415196460202,0.0,0.0
