country,location_id,company_name,number_plants,number_blast_furnace,total_capacity,location_name,latitude,longitude,accuracy,uid
UNITED STATES,8000771,ARKANSAS STEEL ASS.,3,0,767,"NEWPORT, AR",35.6461369,-91.2466375,Exact,USA0173
UNITED STATES,8000781,AK STEEL DEARBORN,15,1,22749,"DEARBORN, MI",42.300371,-83.163938,Exact,USA0174
UNITED STATES,8000791,STEEL DYNAMICS ROANOKE BAR,4,0,2050,"ROANOKE, VA",37.273465,-79.998348,Exact,USA0175
UNITED STATES,8000801,REPUBLIC STEEL,6,0,4224,"CANTON, OH",40.803414,-81.334718,Exact,USA0176
UNITED STATES,8000811,STEEL DYNAMICS COLUMBUS,16,0,18144,"COLUMBUS, MS",33.448257,-88.576098,Exact,USA0177
UNITED STATES,8000841,NLMK PENNSYLVANIA,8,0,4460,"FARREL, PA",41.214742,-80.51181,Exact,USA0178
UNITED STATES,8000871,STANDARD STEEL ,6,0,251,"BURNHAM, PA",40.637977,-77.5724941,Exact,USA0179
UNITED STATES,8000882,WORTHINGTON INDUSTRIES,2,0,1163,"DELTA, OH",41.564112,-84.062597,Exact,USA0180
UNITED STATES,8000884,WORTHINGTON INDUSTRIES,1,0,800,"MONROE, OH",39.4492359,-84.3463682,Exact,USA0181
UNITED STATES,8000885,WORTHINGTON INDUSTRIES,1,0,450,"PORTER, IN",41.6125916,-87.1058801,Exact,USA0182
UNITED STATES,8000893,STEEL OF W.VIRGINIA,5,0,810,"HUNTINGTON, WV",38.4258714,-82.4309011,Exact,USA0183
UNITED STATES,8000901,GERDAU,3,0,1805,"RANCHO CUCAMONGA, CA",34.093622,-117.532112,Exact,USA0184
UNITED STATES,8000941,NUCOR STEEL TUSCALOOSA ,6,0,5300,"TUSCALOOSA, AL",33.235199,-87.508777,Exact,USA0185
UNITED STATES,8000951,TIMKEN STEEL,7,0,2470,"HARRISON-CANTON, OH",40.778771,-81.396744,Exact,USA0186
UNITED STATES,8000952,TIMKEN STEEL,4,0,3450,"FAIRCREST-CANTON, OH",40.754073,-81.438866,Exact,USA0187
UNITED STATES,8000971,ARCELORMITTAL USA,14,0,6432,"WEIRTON, WV",40.418785,-80.592175,Exact,USA0188
UNITED STATES,8001011,NUCOR STEEL DECATUR,13,0,12670,"DECATUR, AL",34.638128,-87.087399,Exact,USA0189
UNITED STATES,8001021,OHIO COATINGS CO,1,0,250,"YORKVILLE, OH",40.1475618,-80.7125319,Exact,USA0190
UNITED STATES,8001041,REPUBLIC STEEL,1,0,680,"LACKAWANNA-BLASDELL, NY",42.8016838,-78.8429304,Exact,USA0191
UNITED STATES,8001051,SCHAEFFER IND.,1,0,300,"LINDON, UTAH",40.334888,-111.7429915,Exact,USA0192
UNITED STATES,8001061,ROLL COATER INC.,2,0,270,"GREENFIELD, IN",39.7877904,-85.738824,Exact,USA0193
UNITED STATES,8001062,ROLL COATER INC.,2,0,320,"KINGSBURY, IN",41.5275433,-86.7000204,Approximate,USA0194
UNITED STATES,8001063,ROLL COATER INC.,1,0,160,"WEIRTON, WV",40.3865971,-80.6073896,Exact,USA0195
UNITED STATES,8001064,ROLL COATER INC.,1,0,150,"HAWESVILLE, KY",37.9317267,-86.7794368,Exact,USA0196
UNITED STATES,8001071,THOMAS STEEL STRIP,3,0,540,"WARREN, OH",41.2394368,-80.8488127,Exact,USA0197
UNITED STATES,8001101,GREER STEEL CO.,8,0,555,"DOVER, OH",40.5200703,-81.4632281,Exact,USA0198
UNITED STATES,8001111,NORTH AMERICAN HOGANAS,2,0,420,"HOLLSOPPLE, PA",40.1915203,-78.9375021,Exact,USA0199
UNITED STATES,8001141,VALLEY CITY STEEL,1,0,365,"CLEVELAND, OH",41.2539642,-81.8901929,Exact,USA0200
UNITED STATES,8001152,STEEL DYNAMICS INC,6,0,3280,"PITTSBORO, IN",39.875508,-86.484214,Exact,USA0201
UNITED STATES,8001161,CHICAGO COLD ROLLING,3,0,860,"PORTAGE, IN",41.5758707,-87.1761455,Approximate,USA0202
UNITED STATES,8001201,"VOESTALPINE TEXAS HOLDING, LLC",1,0,2000,"CORPUS CHRISTI, TX",27.889718,-97.280283,Exact,USA0203
UNITED STATES,8001221,SPARTAN ST. COATING,1,0,544,"MONROE, MI",41.9554729,-83.3519064,Exact,USA0204
UNITED STATES,8001231,PRECISION SPEC. MET.,7,0,69,"LOS ANGELES, CA",33.9130454,-118.2672035,Exact,USA0205
UNITED STATES,8001241,CSN - LLC,5,0,2940,"TERRE HAUTE, IN",39.343727,-87.421039,Exact,USA0206
UNITED STATES,8001251,COLUMBUS CASTINGS,2,0,213,"COLUMBUS, OH",39.9167976,-82.987507,Exact,USA0207
