uid_v3,uid_v4.1,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
CHN0106,CHN1133,19.235544,108.999663,2.19,3,Integrated,Dry,376325.44978853303,376082.2100333587,396026.956148267,621.5205767215,417.89366270435227,1097.944565129767
CHN0108,CHN1158,22.742819,111.732139,2.0,3,Integrated,Dry,341109.49409086665,357441.9422829945,443552.6531592018,282.673117272809,290.1517427103033,340.84382521302757
CHN0110,CHN0681,23.053386,111.998378,2.0,3,Integrated,Dry,307853.9234029573,337882.2858775727,443744.62590087176,367.9286066749821,399.5205012541328,413.19353886787064
CHN0114,CHN1003,25.751919,112.774096,1.0,3,Grinding,Wet,32147.34351938617,31785.54246007701,33605.73271671279,0.0,0.0,0.0
CHN0115,CHN1000,25.844446,115.865441,2.19,3,Integrated,Dry,222278.80094154825,220922.20397545485,253968.47404207056,255.42931400992467,234.95164830864874,311.1201666502817
CHN0116,CHN0157,25.959229,113.238784,2.0,3,Integrated,Dry,248838.04670638716,246362.97728568566,261482.87358510768,567.3609528875512,562.3348012178645,590.6391971037785
CHN0117,CHN0148,26.340874,112.811689,3.2,3,Integrated,Dry,315529.27891495556,317192.9957263656,341074.82942769537,550.9498587194008,546.0007898689096,604.9091526573841
CHN0131,CHN0682,27.697284,113.825503,3.0,3,Integrated,Dry,295070.3423595836,280907.1329179177,329118.877973287,537.5168983368382,558.7194197765806,630.6427737902933
CHN0136,CHN0694,27.963997,113.216266,2.0,3,Integrated,Dry,167612.23115172292,154927.70698272053,206281.14766903452,375.1963753319151,388.09534427623595,388.5658523280551
CHN0137,CHN0697,27.983793,112.847056,2.0,3,Integrated,Dry,185361.26906246218,190088.90111665076,197808.88667105837,386.6916255338715,405.631857272854,405.9815163864068
CHN0143,CHN1032,28.264659,117.145255,2.0,3,Grinding,Wet,69193.38243511433,76493.16021934518,79043.73006832146,0.0,0.0,0.0
CHN0150,CHN1242,28.941969,118.491982,1.6,3,Integrated,Dry,190400.73394912222,211300.03276318376,238577.49877761697,405.793220153387,417.10187917177063,439.47495047420114
CHN0160,CHN0696,29.311703,111.315189,1.0,3,Integrated,Dry,212752.75043857333,205560.39844472584,243589.09507184586,210.1357338383272,210.88853498995798,234.78394168079004
CHN0162,CHN0964,29.679576,118.237402,1.2,3,Grinding,Wet,44647.36250594759,48970.88154894097,51005.56982021416,0.0,0.0,0.0
CHN0163,CHN1247,29.814858,120.347015,1.5,3,Grinding,Wet,77240.38429968216,77866.54035219518,83887.14529819768,0.0,0.0,0.0
CHN0164,CHN0176,29.827321,119.686369,1.7,3,Integrated,Dry,162705.63136954152,132115.57337726327,235829.5590081844,391.3482144315764,412.5942005995913,457.8643339976496
CHN0165,CHN0925,29.875153,119.742454,1.5,3,Integrated,Dry,598361.6733233025,288920.07425161,1290114.917977724,305.0047026913843,310.4740736218121,314.53590221418995
CHN0170,CHN0913,30.148734,121.214294,0.5,3,Grinding,Wet,21655.063820111496,20849.644196940077,23833.715859290667,23.872794147679937,0.0,71.6183824430398
CHN0174,CHN0921,30.559768,120.09114,1.65,3,Integrated,Dry,104056.93328680097,89740.7185764663,136642.77485246945,158.00674016830772,167.45821002565447,185.59865795176785
CHN0175,CHN0920,30.581061,120.189699,2.6,3,Integrated,Dry,123439.83502514768,144156.73289903122,192355.58575315107,177.93219359803498,216.45595425472186,317.3406265393831
CHN0177,CHN0919,30.633487,120.234028,0.5,3,Grinding,Wet,77085.86418776787,21786.134879381145,198725.23868623748,0.0,0.0,0.0
CHN0178,CHN0135,30.648885,120.366445,1.1,3,Integrated,Dry,81544.12597523519,85234.97382308554,85664.99730870844,187.53148466815964,198.07744406532694,211.81963689376892
CHN0188,CHN1049,30.971,120.774617,1.2,3,Grinding,Wet,103230.03314724869,104648.0976541482,106006.47132514667,0.0,0.0,0.0
CHN0194,CHN0182,31.091001,119.68622,3.6,3,Integrated,Dry,470817.3278228847,479884.81635291595,521400.26891483937,1044.035798764684,1075.95477827488,1213.738895702369
CHN0197,CHN0886,31.109304,119.721986,2.7,3,Integrated,Dry,555743.2337148285,510681.7350031671,761429.4203789914,601.7823605298577,543.55147346526,734.3098001187292
CHN0205,CHN0692,31.518947,117.752078,5.0,3,Integrated,Dry,365286.4829756887,405268.6028621631,418725.59569838276,981.5213116396434,976.4610451946007,996.2142475401117
CHN0211,CHN0695,33.099215,106.992661,2.0,3,Integrated,Dry,294366.9362532457,306571.18965954345,309734.5835797952,420.986025425333,422.80419518876704,424.5291136136241
CHN0248,CHN0121,36.087736,114.068821,2.555,3,Integrated,Dry,155281.83785465983,104616.5903305118,265262.1736356824,283.1479096430161,305.30098360960693,306.0614116128851
CHN0252,CHN0177,36.759877,118.40628,4.38,3,Integrated,Dry,384219.0567217612,396757.2505951398,468855.1949446822,791.7215050300292,790.3324835650933,796.5612012591223
CHN0345,CHN1230,26.603678,111.471374,2.19,3,Integrated,Dry,358789.9983841103,362250.90732011123,367764.339850941,436.91879272832443,389.46648218337054,573.9183832152593
CMR0001,CMR0004,4.068957,9.699083,1.5,3,Grinding,Wet,78523.61108359367,88467.30179489798,89829.80760780686,0.0,0.0,0.0
COG0001,COG0003,-4.15534,13.545243,1.5,3,Grinding,Wet,70814.25983774544,67948.42569905378,76838.41387204883,0.0,0.0,0.0
CRI0002,CRI0001,10.199791,-85.182032,0.9,3,Integrated,Dry,144266.00304113457,147341.79703692798,252781.8857452087,238.77931836442468,273.59907148435707,308.8101339227115
CYP0001,CYP0001,35.324213,34.006432,0.45,3,Grinding,Wet,50537.84613892659,50107.47085958894,75821.0450880999,0.0,0.0,0.0
CZE0001,CZE0001,49.558913,17.766342,1.1,3,Integrated,Dry,170869.68584193822,208604.37673397656,242042.34914616178,254.28236042677565,234.53472534271125,308.79550782948866
DEU0012,DEU0031,50.520752,6.560266,0.45,3,Integrated,Dry,20761.11084135103,21039.871396892693,21179.388254637255,162.60577210093084,123.22165978781197,246.0662793554433
DEU0013,DEU0032,51.270124,11.660638,2.3,3,Integrated,Dry,226561.25064734972,233428.71094677056,253119.39169875084,905.2526795166812,898.914616481984,1176.6386917684636
DOM0001,DOM0005,18.506193,-69.339805,2.6,3,Integrated,Dry,362178.35547463555,183259.1708128845,815922.8546147895,440.94106358875507,461.8252692500309,512.2667043827992
DZA0015,DZA0001,35.096288,5.646743,2.7,3,Integrated,Dry,592947.3798135438,661162.4276483668,698719.867386711,262.8049619446117,242.9672781218123,316.9246446380883
DZA0016,DZA0014,35.532649,-0.27516,3.7,3,Integrated,Dry,1094357.1472604575,1078162.3992373783,1152041.8477218489,438.00125454982964,440.3893296922933,520.2480570772805
DZA0017,DZA0013,35.877318,4.445901,5.0,3,Integrated,Dry,1282459.8647655006,1320894.952502859,1442413.0056458153,733.6835631641027,768.7540227473578,813.6866335037469
EGY0007,EGY0002,30.881107,29.465165,5.0,3,Integrated,Dry,602935.8197982494,410442.4365570465,1065744.123914454,1036.5742166683913,1097.17979761474,1120.4981336232977
EGY0009,EGY0008,30.724086,33.772929,3.8,3,Integrated,Dry,808734.7453967914,251962.92766296605,1977860.934493829,762.9435782104267,742.460276071246,926.9128277586162
EGY0010,EGY0020,29.12715,31.268796,1.5,3,Integrated,Dry,753603.6748242055,995074.4714191819,1002294.8581615252,311.106476236089,340.80885190295254,398.6094988773719
ESP0002,ESP0002,37.276257,-5.992723,1.0,3,Grinding,Wet,98931.65200428777,41783.6681341652,213770.3711871812,0.0,0.0,0.0
ESP0005,ESP0011,38.209846,-1.008607,1.5,3,Grinding,Wet,60109.177262061006,59504.73427079766,63602.71446671457,0.0,0.0,0.0
ESP0008,ESP0022,37.359736,-5.865094,1.45,3,Integrated,Dry,231383.11338948432,262894.4833682722,328276.55982006964,430.0284533573531,441.9121817773755,470.4606302402244
