uid,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
CHN0713,36.276841,116.574379,,3,Integrated,Dry,493040.637450732,509984.8723561333,566897.1323158828,852.9085812754472,850.6156080605465,914.6875654103941
CHN0714,37.473146,121.055879,,3,Integrated,Dry,339133.80011107447,334641.225318214,383337.43419409834,551.6137443355163,612.4502969688267,641.2677265723205
CHN0716,39.473451,121.627325,,3,Integrated,Dry,408959.73800700903,451722.0823914084,452266.3096354251,554.8764993670708,514.0593447616299,661.1477300699086
CHN0717,41.224779,123.340701,,3,Integrated,Dry,319241.27247307886,185541.04680112275,668626.8232766163,496.2829482980486,521.5755040109495,616.272767670536
CHN0718,34.53229,117.620869,,3,Integrated,Dry,145669.25660017174,148593.16648066835,154463.68104725922,406.4232700549653,404.5812370515031,437.16032422081304
CHN0719,36.123423,119.026673,,3,Integrated,Dry,447273.0552948278,471443.1592747781,489492.74244098936,968.694143009375,937.2331731477916,1110.7247399823466
CHN0720,36.637222,117.750335,,3,Integrated,Dry,269604.04680833063,258376.0745530702,326738.9845391252,816.5438196510084,741.928971245806,1002.7535283286315
CHN0722,26.007226,119.491719,,3,Grinding,Wet,103317.71986191189,80823.03062215827,151027.68236829192,0.0,0.0,0.0
CHN0724,24.252709,113.40456,,3,Integrated,Dry,835211.6771724003,887352.6585413092,1047925.7961675164,1238.0116247279611,1318.3840252552454,1375.1952194757143
CHN0725,23.144596,109.355321,,3,Integrated,Dry,835253.1885618037,1140045.430635903,1165770.0484682922,1370.4155601393936,1542.4056486527336,1998.4578654554866
CHN0726,32.191549,119.258714,,3,Integrated,Dry,603054.6233625377,626893.5846436021,766678.9310529549,593.4482051758006,554.8033698420804,752.3904492326044
CHN0728,37.877287,112.406201,,3,Integrated,Dry,228479.50869135463,258065.67979796047,285009.10023156635,326.76646467648186,346.82595640161975,414.6618024613056
CHN0729,37.813566,112.739482,,3,Integrated,Dry,388675.95339275483,442891.66492042254,489899.9764696683,543.6392111243831,506.8474639104388,619.6947923975865
CHN0733,39.757895,118.463658,,3,Integrated,Dry,362162.72039548244,414069.87264916237,425170.6996758616,257.2192567651411,207.498692386136,382.56053790250024
CHN0736,33.410232,112.321117,,3,Integrated,Dry,306305.2586416705,265095.5006613217,403870.5302365946,369.6008284172185,353.4914583632735,447.28109405207215
CHN0737,31.949452,114.630104,,3,Integrated,Dry,206061.66021373446,233206.71735256974,234422.4713040588,277.9683042736991,250.71871736252226,373.115111712067
CHN0738,41.277623,123.287185,,3,Integrated,Dry,516390.3283158134,542307.13912643,598102.9993204147,800.4290779185933,753.3848829344706,928.4197503561907
CHN0739,34.299281,113.416752,,3,Integrated,Dry,269893.4061457481,261945.07207010573,287781.51344918826,335.7478700172001,336.3255459663525,355.582611507847
CHN0740,34.783814,111.922144,,3,Integrated,Dry,394013.115008925,327363.75556082325,599717.8294911772,211.823731677625,204.23834921042763,252.96023108804928
CHN0741,34.121937,112.827104,,3,Integrated,Dry,760659.986750154,621109.9415074515,1442787.135021408,562.3246163865755,610.1616244011991,612.6527824102141
CHN0742,39.581583,121.434166,,3,Integrated,Dry,756855.8389534906,779501.5490788815,790982.5000764665,1013.3939902175526,878.3970755325481,1301.9799604085597
CHN0743,34.656464,113.371716,,3,Integrated,Dry,407232.7423295715,414113.50088558823,432210.95369895233,722.2374992744594,738.9918841669793,782.1624579719282
CHN0744,33.883746,112.897971,,3,Integrated,Dry,387899.3885507937,286733.6128380763,609805.9215511736,852.0863565544331,934.4623196848627,966.8807374970851
CHN0745,35.433052,114.037664,,3,Integrated,Dry,597514.747708465,620818.9378262274,657799.269404936,662.5546993656582,688.7018497003897,742.5441670845033
CHN0746,34.13172,117.018244,,3,Integrated,Dry,239673.36182527346,229083.7530712178,263620.5631644901,430.3225133440699,438.23657599542315,465.13299960208906
CHN0756,35.445524,114.025604,,3,Integrated,Dry,393036.22370819014,380143.1847366,432875.4547238865,719.6977397610021,707.3424865500805,829.9717627174734
CHN0759,39.616455,106.904139,,3,Integrated,Dry,628113.095392869,590307.026259595,710056.0841528144,553.436533476586,586.3960433668959,827.5515944358908
CHN0760,30.60216,114.138749,2.3,3,Grinding,Wet,67044.22919635683,64578.18983105703,93428.75165146943,0.0,0.0,0.0
CHN0762,31.133297,118.015041,,3,Integrated,Dry,296429.647149038,202317.8145577624,505232.3585759615,454.82366179987434,419.2716819299531,586.6515692813771
