iso3,uid,country,pf_number_plants,pf_number_blast_furnace,pf_total_raw_production_capacity,Unnamed: 6,pf_owner,pf_location,status,latitude,longitude,source,accuracy,owner_permid,owner_name,reported_capacity,reported_production_start,owner_source,date_accessed,parent_permid,parent_name,ownership_stake,parent_permid.1,parent_name.1,ownership_stake.1,comment_ownership,rank,pop2020,GrowthRate
PHL,PHL0004,Philippines,7.0,,300.0,0.0,CATHAY PACIFIC STEEL,"CAINTA, RIZAL",Operating,14.590257999999999,121.11106200000002,PlantFacts,Exact,,,,,,,,,,,,,,,109581.078,0.0135
PHL,PHL0005,Philippines,4.0,,,0.0,STEEL CORP OF THE PHILIPPINES,"BALAYAN, BATANGAS",Operating,13.968791,120.728447,PlantFacts,Exact,,,,,,,,,,,,,,,109581.078,0.0135
PHL,PHL0006,Philippines,1.0,,,0.0,STEELASIA,"MEYCAUAYAN-CTY BULACAN, LUZON",Operating,14.764956900000001,121.00803629999999,PlantFacts,Exact,4296596982,SteelAsia Mfg Corp,,,https://www.steelasia.com/company/plant-facilities/meycauayan-works,2020-07-27,4296596982.0,SteelAsia Mfg Corp,,,,,,,109581.078,0.0135
PHL,PHL0007,Philippines,1.0,,,0.0,STEELASIA,"CEBU, VISAYS",Operating,10.109183999999999,123.670948,PlantFacts,Exact,4296596982,SteelAsia Mfg Corp,,,https://www.steelasia.com/company/plant-facilities/carcar-works,2020-07-27,4296596982.0,SteelAsia Mfg Corp,,,,,,,109581.078,0.0135
PHL,PHL0008,Philippines,1.0,,,0.0,STEELASIA,"PLARIDEL BULACAN, LUZON",Operating,14.763612400000001,121.0078256,PlantFacts,Exact,,,,,,,,,,,,,,,109581.078,0.0135
PHL,PHL0010,Philippines,2.0,,,0.0,ISLAND METAL MFG.,QUEZON CITY,Operating,14.663004999999998,121.008697,PlantFacts,Exact,,,,,,,,,,,,,,,109581.078,0.0135
PHL,PHL0013,Philippines,1.0,,,0.0,PUYAT STEEL CORP,MANDALUYONG,Operating,14.569414000000002,121.048075,PlantFacts,Exact,,,,,,,,,,,,,,,109581.078,0.0135
PHL,PHL0014,Philippines,2.0,,,0.0,UNION GALVASTEEL CORP,"CABUYAO, LAGUNA",Operating,14.194428,121.155947,PlantFacts,Exact,,,,,,,,,,,,,,,109581.078,0.0135
PHL,PHL0015,Philippines,1.0,,,0.0,CAPITOL STEEL,QUEZON CITY,Operating,14.675057,121.01612,PlantFacts,Exact,,,,,,,,,,,,,,,109581.078,0.0135
PHL,PHL0016,Philippines,2.0,,,0.0,MINDANAO STEEL CORP,MISAMIS ORIENTAL,Operating,8.581557,124.771178,PlantFacts,Exact,,,,,,,,,,,,,,,109581.078,0.0135
